channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,1,0,0,1.0,1.0,1.0,1.0,0.30451799135914503,0.016222479721900347
A-2,1,0,0,1.0,1.0,1.0,1.0,0.2942496961284559,0.026568825910931175
A-3,1,0,0,1.0,1.0,1.0,1.0,0.5493656685571076,0.025625381330079317
A-4,1,0,0,1.0,1.0,1.0,1.0,0.573504034990613,0.026022304832713755
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011646288955547774,0.07473841554559044
A-6,1,0,0,1.0,1.0,1.0,1.0,0.477676508419658,0.048615800135043886
A-7,1,2,0,0.3333333333333333,1.0,0.5,0.3846153846153846,0.9576805779509703,0.0921006843753625
A-8,1,0,0,1.0,1.0,1.0,1.0,0.300024779381175,0.008368200836820083
A-9,1,0,0,1.0,1.0,1.0,1.0,1.0,0.008309591642924977
B-1,1,0,0,1.0,1.0,1.0,1.0,0.009954874296591643,0.05227781926811053
D-1,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.9655042884213247,0.09612895634780562
D-11,1,0,0,1.0,1.0,1.0,1.0,0.00983513935868039,0.037730764047971974
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9592916484717505,0.1062215477996965
D-13,1,0,0,1.0,1.0,1.0,1.0,0.028506327227528928,0.05488043904351235
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9729565546098807,0.057076295864880604
D-3,1,0,0,1.0,1.0,1.0,1.0,0.8491555589643415,0.07300115874855156
D-4,1,0,0,1.0,1.0,1.0,1.0,0.9993221060025623,0.07444168734491315
D-5,0,0,1,0.0,0.0,0.0,0.0,0.0037380330931621225,0.0
D-6,1,0,0,1.0,1.0,1.0,1.0,0.42019900471099914,0.01778003556007112
D-7,1,0,0,1.0,1.0,1.0,1.0,0.986690871977768,0.10089098532494759
D-8,0,0,1,0.0,0.0,0.0,0.0,0.6889993054442488,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8469448586140396,0.05678745267712277
E-1,2,0,0,1.0,1.0,1.0,1.0,0.6598716950956376,0.0625440865271573
E-10,2,1,0,0.6666666666666666,1.0,0.8,0.7142857142857142,0.7850198120734305,0.08769864626250735
E-11,2,1,0,0.6666666666666666,1.0,0.8,0.7142857142857142,0.7887665760987341,0.08784101599247413
E-12,2,2,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.13397416097738826,0.09162549988238061
E-13,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19579975811288708,0.05979142526071842
E-2,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.5331321065437062,0.05421262614409763
E-3,1,0,0,1.0,1.0,1.0,1.0,0.5891709978916545,0.05062070627937809
E-4,1,0,0,1.0,1.0,1.0,1.0,0.5389277689072505,0.050335570469798654
E-5,1,0,0,1.0,1.0,1.0,1.0,0.12876799687942367,0.016900048285852245
E-6,1,0,0,1.0,1.0,1.0,1.0,0.9060171564197644,0.025331724969843185
E-7,1,0,0,1.0,1.0,1.0,1.0,0.8206609789732906,0.04024096385542169
E-8,1,0,0,1.0,1.0,1.0,1.0,0.5123964902890941,0.03285613705702887
E-9,0,0,1,0.0,0.0,0.0,0.0,0.08034217208513617,0.0
F-1,0,1,1,0.0,0.0,0.0,0.0,0.011029967205924886,0.008164217401446234
F-2,1,0,0,1.0,1.0,1.0,1.0,0.8698280033737833,0.02437325905292479
F-3,0,0,1,0.0,0.0,0.0,0.0,0.005226289388248302,0.0
G-1,0,1,1,0.0,0.0,0.0,0.0,0.015242266339506321,0.027308192457737322
G-2,1,0,0,1.0,1.0,1.0,1.0,0.7338136546777839,0.019045027887362263
G-3,0,0,1,0.0,0.0,0.0,0.0,0.7695206089113078,0.0
G-4,1,0,0,1.0,1.0,1.0,1.0,0.4644824769204266,0.027551823668328524
G-6,1,0,0,1.0,1.0,1.0,1.0,0.5560599758230953,0.020162224797219002
G-7,3,4,0,0.42857142857142855,1.0,0.6,0.48387096774193544,0.5797331363277537,0.22197281456540716
P-1,1,0,2,1.0,0.3333333333333333,0.5,0.7142857142857143,0.1920382579704044,0.0164802825191289
P-2,1,0,0,1.0,1.0,1.0,1.0,0.9739345091298235,0.05976338577875351
P-3,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.9744517831217102,0.09536720499823176
P-4,3,0,0,1.0,1.0,1.0,1.0,0.602474223634186,0.0874823105622025
P-7,1,0,0,1.0,1.0,1.0,1.0,0.9655593999919997,0.06078650291527106
R-1,1,0,0,1.0,1.0,1.0,1.0,0.4045175369631821,0.028061929776057506
S-1,1,0,0,1.0,1.0,1.0,1.0,0.8553508367810756,0.04780767654691982
T-1,0,0,2,0.0,0.0,0.0,0.0,0.10797130295582687,0.0
T-2,0,0,1,0.0,0.0,0.0,0.0,0.12008946226584602,0.0
T-3,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.3905225600503738,0.029641731824016804
